	cluster	cluster_color	dataset	dataset_color	type	type_color
NSCLC_GSE153935.48	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC_GSE153935	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
COAD_GSE146771_Smartseq2.16	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
BRCA_GSE114727_inDrop.75	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SCC_GSE145328.47	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SCC_GSE145328	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
SKCM_GSE115978_aPD1.51	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM_GSE115978_aPD1	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
NSCLC_EMTAB6149.89	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
SCC_GSE144236.35	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
OV_GSE154600.83	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
SKCM_GSE72056.65	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM_GSE72056	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
HNSC_GSE103322.41	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	HNSC_GSE103322	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC	(1.0, 0.4980392156862745, 0.054901960784313725)
UVM_GSE139829.90	23	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	UVM_GSE139829	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	UVM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
NSCLC_EMTAB6149.25	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
HNSC_GSE103322.77	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	HNSC_GSE103322	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC	(1.0, 0.4980392156862745, 0.054901960784313725)
SKCM_GSE148190.23	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
OV_GSE154600.31	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
SCC_GSE123813_aPD1.80	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	SCC_GSE123813_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
KIRC_GSE111360.93	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
GBM_GSE70630.20	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	GBM_GSE70630	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
CHOL_GSE142784.28	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	CHOL_GSE142784	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	CHOL	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
GBM_GSE89567.2	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	GBM_GSE89567	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
GBM_GSE139448.51	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	GBM_GSE139448	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
Glioma_GSE141460.99	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	Glioma_GSE141460	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	Glioma	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
NSCLC_GSE143423.74	24	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC_GSE143423	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
HNSC_GSE103322.40	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	HNSC_GSE103322	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC	(1.0, 0.4980392156862745, 0.054901960784313725)
BRCA_GSE150660.35	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BRCA_GSE150660	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SKCM_GSE120575_aPD1aCTLA4.88	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	SKCM_GSE120575_aPD1aCTLA4	(1.0, 0.4980392156862745, 0.054901960784313725)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
Glioma_GSE141460.95	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	Glioma_GSE141460	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	Glioma	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
NSCLC_EMTAB6149.30	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
SKCM_GSE148190.14	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	SKCM_GSE148190	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
BLCA_GSE149652.56	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BLCA_GSE149652	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
SKCM_GSE72056.8	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	SKCM_GSE72056	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
BRCA_GSE114727_10X.90	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BRCA_GSE114727_10X	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
Glioma_GSE141460.90	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	Glioma_GSE141460	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	Glioma	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
SCC_GSE145328.10	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	SCC_GSE145328	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
GBM_GSE135437.5	25	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	GBM_GSE135437	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
KIRC_GSE111360.98	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
UVM_GSE139829.81	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	UVM_GSE139829	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	UVM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
BRCA_GSE110686.2	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	BRCA_GSE110686	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
PAAD_CRA001160.27	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
SCC_GSE144236.80	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
PAAD_GSE141017.41	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PAAD_GSE141017	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
SKCM_GSE115978_aPD1.21	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	SKCM_GSE115978_aPD1	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
OV_GSE154600.45	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
COAD_GSE146771_10X.74	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
GBM_GSE138794.19	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	GBM_GSE138794	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
BLCA_GSE145281_aPD1.54	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	BLCA_GSE145281_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BRCA_GSE150660.73	26	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	BRCA_GSE150660	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
GBM_GSE138794.93	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	GBM_GSE138794	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
BCC_GSE141526.70	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	BCC_GSE141526	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BCC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
COAD_GSE146771_Smartseq2.70	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
NHL_GSE128531.54	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
SCC_GSE144236.17	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
BLCA_GSE130001.70	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	BLCA_GSE130001	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
NSCLC_EMTAB6149.77	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
PAAD_GSE141017.93	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	PAAD_GSE141017	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
GBM_GSE139448.67	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	GBM_GSE139448	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
OV_GSE154600.69	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
PAAD_CRA001160.10	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
STAD_GSE134520.6	27	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	STAD_GSE134520	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	STAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
PRAD_GSE141445.34	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	PRAD_GSE141445	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PRAD	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
AML_GSE154109.50	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	AML_GSE154109	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
SCC_GSE144236.92	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
CLL_GSE111014.42	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	CLL_GSE111014	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
PAAD_CRA001160.41	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
COAD_GSE146771_10X.11	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
HNSC_GSE103322.95	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	HNSC_GSE103322	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC	(1.0, 0.4980392156862745, 0.054901960784313725)
NHL_GSE128531.0	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	NHL_GSE128531	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NHL	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
BCC_GSE141526.76	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	BCC_GSE141526	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BCC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
OV_GSE115007.60	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	OV_GSE115007	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
OV_GSE115007.58	28	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	OV_GSE115007	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
CLL_GSE111014.63	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	CLL_GSE111014	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
ALL_GSE154109.33	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	ALL_GSE154109	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
GBM_GSE70630.75	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	GBM_GSE70630	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
COAD_GSE146771_Smartseq2.94	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
GBM_GSE131928_10X.55	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	GBM_GSE131928_10X	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
NSCLC_EMTAB6149.4	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
OV_GSE115007.46	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV_GSE115007	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
BRCA_GSE139495.21	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
SKCM_GSE72056.21	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SKCM_GSE72056	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
MCC_GSE117988_aPD1aCTLA4.89	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	MCC_GSE117988_aPD1aCTLA4	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	MCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
GBM_GSE135437.24	29	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	GBM_GSE135437	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
AML_GSE154109.67	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	AML_GSE154109	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
GBM_GSE135437.85	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	GBM_GSE135437	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
AML_GSE154109.14	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	AML_GSE154109	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
ALL_GSE154109.47	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	ALL_GSE154109	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
NSCLC_GSE143423.90	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NSCLC_GSE143423	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
BRCA_GSE139495.34	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
ALL_GSE132509.46	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	ALL_GSE132509	(1.0, 0.4980392156862745, 0.054901960784313725)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
PBMC_8K.80	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BRCA_GSE139495.81	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
OV_GSE154600.3	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	OV_GSE154600	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	OV	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
PBMC_8K.62	30	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
STAD_GSE134520.2	31	(1.0, 0.4980392156862745, 0.054901960784313725)	STAD_GSE134520	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	STAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
GBM_GSE131928_10X.94	31	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE131928_10X	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
PAAD_CRA001160.68	31	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
COAD_GSE146771_10X.5	31	(1.0, 0.4980392156862745, 0.054901960784313725)	COAD_GSE146771_10X	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
KIRC_GSE111360.12	31	(1.0, 0.4980392156862745, 0.054901960784313725)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
GBM_GSE103224.69	31	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE103224	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
Glioma_GSE141460.75	31	(1.0, 0.4980392156862745, 0.054901960784313725)	Glioma_GSE141460	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	Glioma	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)
SCC_GSE123813_aPD1.85	31	(1.0, 0.4980392156862745, 0.054901960784313725)	SCC_GSE123813_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
GBM_GSE131928_Smartseq2.75	31	(1.0, 0.4980392156862745, 0.054901960784313725)	GBM_GSE131928_Smartseq2	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
BCC_GSE141526.22	31	(1.0, 0.4980392156862745, 0.054901960784313725)	BCC_GSE141526	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BCC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
AML_GSE116256.88	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	AML_GSE116256	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
COAD_GSE146771_Smartseq2.68	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	COAD_GSE146771_Smartseq2	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
PBMC_30K.36	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PBMC_30K	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BLCA_GSE145281_aPD1.95	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BLCA_GSE145281_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	BLCA	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
PBMC_8K.71	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
ALL_GSE154109.55	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL_GSE154109	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	ALL	(1.0, 0.4980392156862745, 0.054901960784313725)
BRCA_GSE139495.91	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA_GSE139495	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
CLL_GSE142744.31	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	CLL_GSE142744	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	CLL	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
AML_GSE154109.27	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	AML_GSE154109	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
NSCLC_GSE117570.44	32	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC_GSE117570	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
SCC_GSE123813_aPD1.86	33	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SCC_GSE123813_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
PAAD_CRA001160.2	33	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
